path,umb_constructor_count,route_guess,notes
crates/scoopc/src/llvm/codegen/main/immut_value.rs,18,RawMirLlvm,"main raw route immutable value helper"
crates/scoopc/src/llvm/codegen/main/literal.rs,4,RawMirLlvm,"main raw route literal helper"
crates/scoopc/src/llvm/codegen/main/numeric.rs,2,RawMirLlvm,"main raw route numeric helper"
crates/scoopc/src/llvm/codegen/main/runtime_error.rs,4,RawMirLlvm,"main raw route RuntimeError helper"
crates/scoopc/src/llvm/codegen/mir_body/aggregates.rs,31,RawMirLlvm,"pass MIR aggregate lowering"
crates/scoopc/src/llvm/codegen/mir_body/args.rs,15,RawMirLlvm,"pass MIR argument lowering"
crates/scoopc/src/llvm/codegen/mir_body/call.rs,28,RawMirLlvm,"pass MIR call lowering"
crates/scoopc/src/llvm/codegen/mir_body/callable_lookup.rs,21,RawMirLlvm,"pass MIR callable lookup"
crates/scoopc/src/llvm/codegen/mir_body/cast.rs,28,RawMirLlvm,"pass MIR cast/type-test lowering"
crates/scoopc/src/llvm/codegen/mir_body/const_pat.rs,38,RawMirLlvm,"pass MIR constant pattern lowering"
crates/scoopc/src/llvm/codegen/mir_body/dispatch.rs,16,RawMirLlvm,"pass MIR dispatch lowering"
crates/scoopc/src/llvm/codegen/mir_body/member.rs,50,RawMirLlvm,"pass MIR member lowering"
crates/scoopc/src/llvm/codegen/mir_body/mod.rs,7,RawMirLlvm,"pass MIR body coordinator"
crates/scoopc/src/llvm/codegen/mir_body/operand.rs,8,RawMirLlvm,"pass MIR operand and closure-env transport"
crates/scoopc/src/llvm/codegen/mir_body/string.rs,1,RawMirLlvm,"pass MIR string helper"
crates/scoopc/src/llvm/codegen/mir_body/terminator.rs,19,RawMirLlvm,"pass MIR terminator lowering"
crates/scoopc/src/llvm/codegen/mir_body/transport.rs,10,RawMirLlvm,"pass MIR composite/value transport"
crates/scoopc/src/llvm/codegen/mir_body/types.rs,4,RawMirLlvm,"pass MIR type lookup/helper"
crates/scoopc/src/llvm/codegen/mir_body/value_args.rs,6,RawMirLlvm,"pass MIR callable value arguments"
crates/scoopc/src/llvm/codegen/object_init.rs,13,RawMirLlvm,"object/top-level initialization lowering"
crates/scoopc/src/llvm/codegen/ordinary_callee.rs,6,RawMirLlvm,"ordinary callee lowering"
crates/scoopc/src/llvm/codegen/stmt.rs,20,RawMirLlvm,"HIR statement lowering surface"
crates/scoopc/src/llvm/codegen/ty.rs,15,Helper,"type/codegen-type helper"
